Title,Status,Category,Plan ID,PR Link,Match %,PR Type,Effort,Body
[014] scan: simd_prefix_inclusive_sum,no-op,Quick-win,014,,,,,"Already implemented.

Details: perf-research/ideas/012-020-feasibility-study.md#14-scan-prefer-simd_prefix_inclusive_sum"
[015] argmax: hold 847%,no-op,Quick-win,015,,,,,"Already optimal; graph-level profiling needed.

Details: perf-research/ideas/012-020-feasibility-study.md#15-argmax-refuse-to-slow-down-847"
[016] RoPE: precompute sin/cos tg-mem,🔴 Blocked,One-day,016,,,,,"Dispatch restructuring needed.

Details: perf-research/ideas/012-020-feasibility-study.md#16-rope-precompute-sincos-to-threadgroup-memory"
[017] RoPE-into-QKV fusion,🔴 Blocked,One-day,017,,,,,"New kernel + bench harness.

Details: perf-research/ideas/012-020-feasibility-study.md#17-rope-into-qkv-fusion"
[018] KV-cache: vectorized copy,🔴 Blocked,One-day,018,,,,,"DSL lacks vector primitives.

Details: perf-research/ideas/012-020-feasibility-study.md#18-kv-cache-append-vectorized-aligned-copy"
[019] Gather: tg prefetch hot indices,🔴 Blocked,One-day,019,,,,,"Dispatch restructuring needed.

Details: perf-research/ideas/012-020-feasibility-study.md#19-gather-prefetch-to-threadgroup-for-hot-indices"
[020] Copy: vectorize stride-1,⚠️ Feasible,One-day,020,#37,40%,Codegen,,"Investigate `vectorize.rs` pass.

📎 Mapped to upstream PR #37 (Store vectorization) — match: 40%, type: Codegen

Details: perf-research/ideas/012-020-feasibility-study.md#20-strided-copy-emit-vec-types-for-stride-1-axes"
[021] FP4 dequant: packed bit ops,🔴 Blocked,One-day,021,,,,,"Target file is scalar quantize-dequant roundtrip, not packed FP4 dequant. Ill-formed against current code.

Details: perf-research/ideas/021-fp4-dequant-packed-bit-ops.md"
[022] Quantized int4 GEMV: simdgroup_matrix multiply,🔴 Blocked,One-day,022,,,,,"`simdgroup_matrix_multiply` is a GEMM primitive, not GEMV. GEMV has N=1; using it requires padding and discarding 7/8 of work. MLX's own qmv kernels use scalar dequant+simd_sum.

Details: perf-research/ideas/022-dequant-gemv-simdgroup-matmul.md"
[023] Quantized GEMV: int4 pack-of-2 lookup,🔴 Blocked,One-day,023,,,,,"Requires `half2` vector type + constant-array primitive in DSL. Per-group scale/bias makes 256-entry LUT impractical (32KB+ tg mem or 64 barriers). MLX doesn't use this.

Details: perf-research/ideas/023-quantized-int4-pack-of-2-lookup.md"
[024] dequant_gather: skip dequant for cold misses,no-op,One-day,024,,,,,"`tile profile` does not exist. No cache-state visibility in MSL. Real fix is graph-level embedding cache, not kernel-level skip.

Details: perf-research/ideas/024-dequant-gather-cold-miss-skip.md"
[025] Sort: 4-way bitonic merge,⚠️ Feasible,One-day,025,,,,,"Current kernel at 117r (thread-limited). 4-way merge would double registers, likely spill. Real gap is MLX uses merge sort, not bitonic.

Details: perf-research/ideas/025-sort-4-way-bitonic-merge.md"
[026] Sampling: radix-select top-k,🔴 Blocked,One-day,026,,,,,"Target file contains categorical sampling kernel, not top-k. No top-k kernel in MetalTile or MLX. New kernel + bench harness required.

Details: perf-research/ideas/026-sampling-radix-select-topk.md"
[027] SSM: scan with state vectorization,no-op,One-day,027,,,,,"`mt_ssm_step` already vectorizes state_dim across 32 threads with `simd_sum`. No scan exists to fuse — state dims are independent.

Details: perf-research/ideas/027-ssm-scan-state-vectorization.md"
[028] logsumexp: fuse max + sum-exp,no-op,One-day,028,,,,,"Kernel already uses single-pass online logsumexp (matches MLX `logsumexp_looped`). MT%=154–238%.

Details: perf-research/ideas/028-logsumexp-fuse-max-sum-exp.md"
[029] Short-row cooperative groups,⚠️ Feasible,One-day,029,,,,,"Dispatch heuristic: tpg=32 for N≤32, same pattern as #007.

Details: perf-research/ideas/029-short-row-cooperative-groups.md"
[030] binary_two: FMA autovec diagnostic,no-op,One-day,030,,,,,"Kernel computes x+y and x*y independently — no FMA pattern exists.

Details: perf-research/ideas/030-binary-two-fma-autovec.md"
[031] Unary: emit `metal::precise::sigmoid`,⚠️ Feasible,One-day,031,,,,,"`mt_sigmoid` manually expands formula; DSL has `sigmoid()` builtin. One-line fix.

Details: perf-research/ideas/031-unary-precise-intrinsics.md"
[032] SwiGLU/GELU fuse with matmul epilogue,🔴 Blocked,One-day,032,,,,,"No GEMM kernel in DSL; needs multi-day project.

Details: perf-research/ideas/032-swiglu-gelu-fuse-matmul-epilogue.md"
[033] argmin variant in arg_reduce,⚠️ Feasible,One-day,033,,,,,"Copy-paste argmax, flip init + comparison. ~30 lines.

Details: perf-research/ideas/033-argmin-variant.md"
[034] softmax + attention epilogue fusion,🔴 Blocked,One-day,034,#47,50%,FA2 fusion,,"No tiled attention kernel; moonshot-level scope.

📎 Mapped to upstream PR #47 (FA2 prefill kernel) — match: 50%, type: FA2 fusion

Details: perf-research/ideas/034-softmax-attention-fusion.md"
[035] random: 64-bit state / vec4 generation,🔴 Blocked,One-day,035,,,,,"`mt_random_hash` is a toy hash, not a PRNG. Hypothesis ill-formed.

Details: perf-research/ideas/035-random-xorshift-vec4.md"
[041] schedule.rs: software pipelining,🔴 Blocked,Codegen,041,,,,,"Target pass is a tile annotator, not a loop scheduler. Needs new pass.

Details: perf-research/ideas/041-schedule-software-pipelining.md"
[042] licm.rs: hoist gather indices,no-op,Codegen,042,,,,,"Already hoists loop-invariant `Load` from read-only params.

Details: perf-research/ideas/042-licm-hoist-gather-indices.md"
[043] cse.rs: extend across simdgroup boundaries,⚠️ Feasible,Codegen,043,,,,,"Block-local CSE misses cross-branch common subexpressions. Needs re-scoping.

Details: perf-research/ideas/043-cse-across-simdgroup-boundaries.md"
[044] if_conversion.rs: predicate tiny ifs,no-op,Codegen,044,,,,,"Pass already handles Diamond shapes; `gemv_masked` has no `Op::If`.

Details: perf-research/ideas/044-if-conversion-predicate-tiny-ifs.md"
[045] value_sink.rs: sink threadgroup stores,🔴 Blocked,Codegen,045,,,,,"Pass excludes side-effecting ops; threadgroup-store motion is unsafe here.

Details: perf-research/ideas/045-value-sink-threadgroup-stores.md"
[036] vectorize.rs: 8-wide on f16/bf16,no-op,Codegen,036,#37,20%,Codegen (inverse),,"`MAX_VEC_LEN=8` already in pass; BF16 already vectorizable.

📎 Mapped to upstream PR #37 (Store vectorization) — match: 20%, type: Codegen (inverse)

Details: perf-research/ideas/036-vectorize-8-wide-f16-bf16.md"
[037] vectorize.rs: strided-but-aligned stores,⚠️ Feasible,Codegen,037,#37,80%,Codegen,,"Pass only coalesces single-buffer contiguous. Strided/interleaved needs re-scope.

📎 Mapped to upstream PR #37 (Store vectorization) — match: 80%, type: Codegen

Details: perf-research/ideas/037-vectorize-strided-aligned-stores.md"
[038] fusion.rs: epilogue fusion onto reductions,⚠️ Feasible,Codegen,038,,,,,"Post-reduction elementwise already fused; reducing into FusedElementwise is marginal.

Details: perf-research/ideas/038-fusion-epilogue-reductions.md"
[039] fusion.rs: multi-reduction in one pass,⚠️ Feasible,Codegen,039,,,,,"Is loop fusion, not operator fusion. Needs new pass or hand-written kernel.

Details: perf-research/ideas/039-fusion-multi-reduction.md"
[040] unroll.rs: register-pressure-aware unroll,⚠️ Feasible,Codegen,040,,,,,"`register_estimate.rs` exists but is not consulted by `UnrollPass`. Prevents #006-style catastrophes.

Details: perf-research/ideas/040-unroll-register-aware.md"
[046] Wire autotuner `lookup()`,⚠️ Feasible,Runtime,046,,,,,"`lookup()` is a placeholder returning `None`. Cache infra exists but not wired.

Details: perf-research/ideas/046-autotuner-lookup.md"
[047] PSO disk cache,⚠️ Feasible,Runtime,047,,,,,"In-memory `PSO_CACHE` exists. Disk serialization needs `MTLDynamicLibrary` or build-time `.metallib`.

Details: perf-research/ideas/047-pso-disk-cache.md"
[048] Heap-backed buffer pool,no-op,Runtime,048,,,,,"`BUF_POOL` already caches `MTLBuffer` by size bucket.

Details: perf-research/ideas/048-heap-backed-buffer-pool.md"
[049] Reuse command buffer across bench iters,⚠️ Feasible,Runtime,049,,,,,"`measure()` creates fresh CB per pass. Reusing changes timing semantics.

Details: perf-research/ideas/049-reuse-command-buffer-bench.md"
[050] Fast-math + disable shader-validation,⚠️ Feasible,Runtime,050,,,,,"`MTLCompileOptions` uses defaults. Setting `mathMode=Fast` + `languageVersion=Metal3_1` is a small change.

Details: perf-research/ideas/050-fast-math-shader-validation.md"
[051] Pipelined sample collection,⚠️ Feasible,Runtime,051,,,,,"Encoding all samples into one CB requires `MTLCounterSampleBuffer` for per-dispatch timing.

Details: perf-research/ideas/051-pipelined-sample-collection.md"
[052] Persistent threadgroups,🔴 Blocked,Runtime,052,,,,,"Metal has no persistent threadgroup API. `dispatch_chain` already achieves most benefit.

Details: perf-research/ideas/052-persistent-threadgroups.md"
[053] Parallelize per-kernel benches,⚠️ Feasible,CLI,053,,,,,"Multiple queues possible but DVFS/cache pollution risks. Marginal wall-time win.

Details: perf-research/ideas/053-parallel-bench-per-kernel.md"
[054] `tile bench --compare-against`,⚠️ Feasible,CLI,054,#42,95%,UX / Done,,"JSON save/load exists. Inline diff is a thin UX layer.

📎 Mapped to upstream PR #42 (Dirty-tree + auto-diff) — match: 95%, type: UX / Done

Details: perf-research/ideas/054-bench-compare-against-baseline.md"
[055] Precompile `.metallib` per GPU family,🔴 Blocked,Build,055,,,,,"MetalTile generates MSL at runtime (JIT). Build-time pre-compilation is infeasible.

Details: perf-research/ideas/055-precompile-metallib-gpu-family.md"
[M1] ML-driven autotuner,⚠️ Feasible,Moonshot,M1,,,,,"Cache + feature extraction exist. Needs data collection + model training.

Details: perf-research/ideas/m1-ml-driven-autotuner.md"
[M2] AMX / ANE offload for small-batch GEMM,🔴 Blocked,Moonshot,M2,,,,,"No public AMX API; CoreML overhead dominates.

Details: perf-research/ideas/m2-amx-ane-offload.md"
[M3] Persistent-kernel graph capture,🔴 Blocked,Moonshot,M3,,,,,"Metal has no graph capture API. `dispatch_chain` already eliminates most per-dispatch overhead.

Details: perf-research/ideas/m3-persistent-kernel-graph-capture.md"
[M4] Auto-fuse arbitrary elementwise DAGs,🔴 Blocked,Moonshot,M4,,,,,"No runtime graph IR or cross-kernel codegen. `dispatch_chain` is pragmatic limit.

Details: perf-research/ideas/m4-auto-fuse-elementwise-dags.md"
[M5] Block-sparse SDPA,⚠️ Feasible,Moonshot,M5,#47,40%,Next follow-up,,"Sliding-window skip logic in `sdpa_decode` is a localized kernel change. High impact for long context.

📎 Mapped to upstream PR #47 (FA2 prefill kernel) — match: 40%, type: Next follow-up

Details: perf-research/ideas/m5-block-sparse-sdpa.md"
[M6] KV-cache via Metal heaps,⚠️ Feasible,Moonshot,M6,,,,,"`kv_cache_update` already writes in-place. No copy exists at kernel level.

Details: perf-research/ideas/m6-kv-cache-metal-heaps.md"
[M7] Speculative-decode batched-Q SDPA,⚠️ Feasible,Moonshot,M7,#47,70%,Moonshot engine,,"New kernel variant: batch_q>1 in `sdpa_decode`. KV amortization is real win.

📎 Mapped to upstream PR #47 (FA2 prefill kernel) — match: 70%, type: Moonshot engine

Details: perf-research/ideas/m7-speculative-decode-batched-q-sdpa.md"
[M8] Metal 3.2 tensor descriptors,⚠️ Feasible,Moonshot,M8,,,,,"Blocked on Metal 3.2 hardware availability. Codegen infra ready for dual path.

Details: perf-research/ideas/m8-metal-3-2-tensor-descriptors.md"
[M9] CPU SIMD fallback (NEON),⚠️ Feasible,Moonshot,M9,,,,,"Project-scale. Scalar reference interpreter is more pragmatic first step.

Details: perf-research/ideas/m9-cpu-neon-fallback.md"
[M10] Operator-cost predictor,🔴 Blocked,Moonshot,M10,,,,,"Requires graph IR (M4) + cross-kernel codegen + learned model (M1).

Details: perf-research/ideas/m10-operator-cost-predictor.md"
